Sekunden;Gas;Aussen;Kessel;Wasser;Relais;Programm;;Status;;;Tag
1768966563;6225,17;-3,25;39,5;27,0;0x95;0x44;;0x05;;;0x84
1768966566;6225,17;-3,25;39,0;27,0;0x95;0x44;;0x05;;;0x84
1768966575;6225,18;-3,25;39,0;27,0;0x95;0x44;;0x05;;;0x84
1768966577;6225,18;-3,25;38,5;27,0;0x95;0x44;;0x05;;;0x84
1768966582;6225,18;-3,25;38,0;27,0;0x95;0x44;;0x05;;;0x84
1768966587;6225,19;-3,25;38,0;27,0;0x95;0x44;;0x05;;;0x84
1768966590;6225,19;-3,25;37,5;27,0;0x95;0x44;;0x05;;;0x84
1768966599;6225,20;-3,25;37,5;27,0;0x95;0x44;;0x05;;;0x84
1768966611;6225,21;-3,25;37,5;27,0;0x95;0x44;;0x05;;;0x84
1768966624;6225,22;-3,25;37,5;27,0;0x95;0x44;;0x05;;;0x84
1768966636;6225,23;-3,25;38,0;27,0;0x95;0x44;;0x05;;;0x84
1768966641;6225,23;-3,25;38,0;27,5;0x95;0x44;;0x05;;;0x84
1768966648;6225,24;-3,25;38,5;27,5;0x95;0x44;;0x05;;;0x84
1768966656;6225,24;-3,25;39,0;27,5;0x95;0x44;;0x05;;;0x84
1768966660;6225,25;-3,25;39,0;27,5;0x95;0x44;;0x05;;;0x84
1768966665;6225,25;-3,25;39,5;27,5;0x95;0x44;;0x05;;;0x84
1768966672;6225,26;-3,25;39,5;27,5;0x95;0x44;;0x05;;;0x84
1768966673;6225,26;-3,25;40,0;27,5;0x95;0x44;;0x05;;;0x84
1768966678;6225,26;-3,25;40,5;27,5;0x95;0x44;;0x05;;;0x84
1768966680;6225,26;-3,25;40,5;28,0;0x95;0x44;;0x05;;;0x84
1768966684;6225,27;-3,25;40,5;28,0;0x95;0x44;;0x05;;;0x84
1768966685;6225,27;-3,25;41,0;28,0;0x95;0x44;;0x05;;;0x84
1768966693;6225,27;-3,25;41,5;28,0;0x95;0x44;;0x05;;;0x84
1768966696;6225,28;-3,25;41,5;28,0;0x95;0x44;;0x05;;;0x84
1768966697;6225,28;-3,25;42,0;28,0;0x95;0x44;;0x05;;;0x84
1768966702;6225,28;-3,25;42,5;28,0;0x95;0x44;;0x05;;;0x84
1768966707;6225,28;-3,25;43,0;28,0;0x95;0x44;;0x05;;;0x84
1768966708;6225,29;-3,25;43,0;28,0;0x95;0x44;;0x05;;;0x84
1768966710;6225,29;-3,25;43,5;28,0;0x95;0x44;;0x05;;;0x84
1768966719;6225,29;-3,25;44,0;28,5;0x95;0x44;;0x05;;;0x84
1768966720;6225,30;-3,25;44,0;28,5;0x95;0x44;;0x05;;;0x84
1768966722;6225,30;-3,25;44,5;28,5;0x95;0x44;;0x05;;;0x84
1768966727;6225,30;-3,25;45,0;28,5;0x95;0x44;;0x05;;;0x84
